YEAR,Mes,Dias,SKY_UVA,T,T_MAX,T_MIN,HR,PRECIPITACION
2023,1,1,13.4,27.4,34.62,21.5,58.94,2.18
2023,1,2,10.15,26.74,33.48,22.13,63.88,4.08
2023,1,3,11.64,25.86,32.44,22.18,71.31,1.97
2023,1,4,12.03,26.97,34.9,22.01,65.94,0.05
2023,1,5,11.99,26.75,32.34,22.49,63.38,0.02
2023,1,6,13.55,26.7,33.3,22.77,64.5,0.04
2023,1,7,9.53,26.96,33.73,22.68,64.06,0.3
2023,1,8,9.05,27.11,35.3,22.38,62,0.42
2023,1,9,11.62,26.6,33.76,22.28,65.62,9.25
2023,1,10,11.24,25.55,31.32,22.15,75.19,9.2
2023,1,11,10.34,25.63,31.24,22.58,76,1.99
2023,1,12,14.15,25.61,32.05,21.23,70.94,1.09
2023,1,13,14.62,25.98,33.23,21.15,70.5,0.73
2023,1,14,14.24,25.74,31.13,22.32,74.69,1.13
2023,1,15,10.72,25.99,33.4,21.55,72.31,1.52
2023,1,16,12.83,26.03,31.2,22.45,71,0.26
2023,1,17,11.07,26.85,33.75,21.98,65.06,0.21
2023,1,18,14.46,27.74,36.35,22.02,62.06,0.51
2023,1,19,10.63,26.76,32.3,23.23,70.19,1.3
2023,1,20,12.83,26.65,33.28,21.9,63.69,0.47
2023,1,21,11.38,27.04,34.49,21.66,67.06,4.71
2023,1,22,13.09,27.16,34.48,22.33,67.44,4.6
2023,1,23,12.31,27.45,34.98,22.58,69.44,0.51
2023,1,24,10.71,27.25,34.08,23.31,69.5,2.01
2023,1,25,14.53,27.49,35.5,22.58,69,19.44
2023,1,26,15.21,27.15,34.56,22.58,72.31,15.22
2023,1,27,12.2,26.93,33.62,23.11,74.94,7.69
2023,1,28,12.09,27.14,34.12,22.82,74,2
2023,1,29,12.22,26.75,33.36,23.23,73.56,7.89
2023,1,30,10.64,27.05,34.47,22.32,72.19,2.72
2023,1,31,11.79,26.02,32.1,22.73,77.38,0.92
2023,2,1,12.27,26.43,32.46,23.07,76.56,2.98
2023,2,2,11.46,26.98,33.98,22.48,73.94,4.66
2023,2,3,9.56,26.83,33.15,23.1,74.88,5.35
2023,2,4,10.37,26.65,32.11,23.12,75.75,3.36
2023,2,5,12.12,26.32,31.64,23.35,77.38,0.56
2023,2,6,11.54,26.83,33.41,23,75.69,1.31
2023,2,7,12.62,27.2,33.88,23.15,74.75,1.92
2023,2,8,12.87,27.17,33.99,23.09,74.75,1.57
2023,2,9,13.16,27.45,34.55,23.3,75.5,11.6
2023,2,10,12.87,27.36,34.64,23.26,77.12,8.48
2023,2,11,9.91,27.24,34.26,23.59,78.19,6.79
